Player Name,Team,League Name,Source League ID,Age,AB,PA,Estimated BIP,Estimated FB,wRC+,LD% Weighted+,HR/FB% Weighted+,BB/K Weighted+,FB Quality+ K=100,LD + HR/FB Weighted+,LD + HR/FB + BB/K Weighted+
Brandon Vasquez,SFG,Dominican Summer League,30,18,83,96,69.0,34.5,80.55661860146701,97.14329912748352,74.34944237918216,100.63735619722736,74.34944237918216,85.74637075333284,90.71003256796435
Brayan Cota,OAK,Dominican Summer League,30,18,128,166,103.0,37.766666598,71.28300360608334,94.87691574279309,72.58649894738161,108.77325640347087,72.58649894738161,83.73170734508736,92.07889036454851
Browm Martinez,NYY,Dominican Summer League,30,18,57,69,46.0,16.512820468,186.82839699508148,120.78659886666185,144.1217160469617,98.79681487531055,137.86064543038162,132.45415745681177,121.23504326297802
Carlos  Garces,CLE,Dominican Summer League,30,18,141,191,135.0,64.883720925,104.04852046458228,88.1942239955076,72.83171679317039,157.83848081208748,70.28042542713729,80.51297039433899,106.28814053358849
Carlos Caripa,CLE,Dominican Summer League,30,18,65,72,55.0,17.6,51.658012214483605,87.4849077193831,85.03401360544217,92.66103623166754,85.03401360544217,86.25946066241264,88.3933191854976
Carlos Done,MIL,Dominican Summer League,30,18,159,198,119.0,54.090909026,111.1976565677276,90.96069703013207,132.27694483822827,92.1921686295531,129.33594881996905,111.61882093418018,105.14327016597115
Carlos Garcia,TOR,Dominican Summer League,30,18,66,80,52.0,16.64,81.83274042145307,91.62477060461713,85.73388203017832,99.19555826694014,85.73388203017832,88.67932631739772,92.1847369672452
Carlos Martorella,COL,Dominican Summer League,30,18,0,0,,,-100.0,100.0,100.0,100.0,100.0,100.0,100.0
Carlos Matias,TBR,Dominican Summer League,30,18,146,182,124.0,47.932773004,87.7025226084043,99.84742959458339,81.1188519201096,97.64187726736337,78.41281920791413,90.48314075734649,92.86938626068546
Carlos Villarroel,NYY,Dominican Summer League,30,18,135,163,83.0,33.779069752,102.4834828637544,103.00668452926163,185.53139949415356,83.47015916595612,223.07441559809752,144.2690420117076,124.00274772979044
Christian Astudillo,BAL,Dominican Summer League,30,18,148,182,122.0,44.947368344,95.48519416806512,89.2505740410351,97.33445876272395,108.47106209552678,106.94001100729324,93.29251640187952,98.35203163309528
Christian Gonzalez,CHW,Dominican Summer League,30,18,66,86,56.0,21.28,199.17140222337187,122.19376427862628,82.45382585751979,116.08105416529719,82.45382585751979,102.32379506807303,106.90954810048108
Christian Saez,STL,Dominican Summer League,30,18,40,47,22.0,9.999999988,79.6420693976015,95.2315971945254,108.35896432142391,88.40452777748327,107.59731600218888,101.79528075797467,97.33169643114421
Christopher Alvarado,BOS,Dominican Summer League,30,18,114,149,92.0,25.804877968,129.5470288771581,115.12510471437886,96.60650596940171,110.22614039305023,94.54963631882218,105.86580534189028,107.31925035894359
Clay Winklaar,SDP,Dominican Summer League,30,18,60,76,32.0,18.0,65.72364128376533,96.19008664201321,101.01259370478682,85.19935957255267,91.74633165325423,98.60134017340002,94.13401330645091
Cleudis Valenzuela,BAL,Dominican Summer League,30,18,107,130,92.0,33.078651612,99.83354468680676,95.64590547868909,90.05342107577734,107.08941775473816,93.39518682908961,92.84966327723322,97.5962481030682
Cliuver Puello,HOU,Dominican Summer League,30,18,99,119,76.0,31.761193972,,98.53709942177717,75.89487996082562,90.83957369232832,75.89487996082562,87.21598969130139,88.42385102497703
Cristian Arguelles,COL,Dominican Summer League,30,18,187,236,160.0,55.064935039999995,201.22009609968623,135.45983182197926,128.7935029499567,123.58792004661314,145.97349397772243,132.12666738596798,129.2804182728497
Cristian Perez,DET,Dominican Summer League,30,18,160,182,101.0,32.979591812,72.68324677864018,105.06777017760588,149.58106723428716,71.670897731281,226.9541074597246,127.32441870594653,108.77324504772469
Cristofer Lebron,STL,Dominican Summer League,30,18,159,194,117.0,59.544642807,120.62451551141356,118.79255716572628,112.95089126299621,95.72234371894895,104.83928753575728,115.87172421436125,109.15526404922382
Daniel Liriano,KCR,Dominican Summer League,30,18,76,99,55.0,11.99999999,,92.35707280843698,89.28571429368623,89.44752389645464,89.28571429368623,90.8213935510616,90.36343699952594
Danny Cancro,COL,Dominican Summer League,30,18,48,61,42.0,11.052631548,78.29136094747497,108.20980585460018,90.04739339002268,105.1296342139974,90.04739339002268,99.12859962231143,101.12894448620675
Darian Castillo,SDP,Dominican Summer League,30,18,110,139,88.0,29.700000000000003,114.60826350581505,81.59702683381155,77.10100231303007,106.19366627946935,77.10100231303007,79.34901457342082,88.29723180877033
Dariel Arias,CLE,Dominican Summer League,30,18,94,106,79.0,30.384615336,38.686901715278886,86.38736902478175,76.69616522033745,93.53039531198644,76.69616522033745,81.5417671225596,85.53797651903521
Dariel Garcia,COL,Dominican Summer League,30,18,157,190,113.0,31.509615289,109.204284099045,110.23601154952914,91.89894881772831,90.9964802033686,90.70118794051828,101.06748018362873,97.71048019020868
Darwin Ramos,SEA,Dominican Summer League,30,18,0,0,,,,100.0,100.0,100.0,100.0,100.0,100.0
Dave Neely,TEX,Dominican Summer League,30,18,87,116,45.0,18.99999999,101.48300463677728,91.28627390347323,84.0336134524398,88.86262610547368,84.0336134524398,87.6599436779565,88.06083782046223
David Carrera,NYY,Dominican Summer League,30,18,128,167,92.0,30.666666636,107.66504279210838,115.90339813078087,109.90036258662201,104.36734879881325,162.6963458836639,112.90188035870145,110.05703650540538
Dawel Joseph,SEA,Dominican Summer League,30,18,161,211,96.0,51.13043472,90.66615355180096,94.09728995895932,105.92721394837942,87.34098890105093,89.45758889666872,100.01225195366936,95.78849760279655
Deinys Gonzalez,TBR,Dominican Summer League,30,18,144,183,113.0,48.579439246,129.99987543380445,105.78710272498327,135.52079704103934,99.83855525374354,127.32414988104858,120.65394988301131,113.71548500658872
Derik Aquino,LAD,Dominican Summer League,30,18,0,0,,,,100.0,100.0,100.0,100.0,100.0,100.0
Deshandro Tromp,PIT,Dominican Summer League,30,18,62,83,38.0,15.40540539,103.25370167999677,96.55060113447288,103.73313118464907,92.0463166658841,93.65240351763254,100.14186615956098,97.44334966166868
Devlyn Bautista,LAD,Dominican Summer League,30,18,61,74,23.0,6.8999999999999995,,96.43083814109401,93.54536950420955,79.3266856720341,93.54536950420955,94.98810382265178,89.76763110577922
Diego Campos,HOU,Dominican Summer League,30,18,96,112,73.0,24.662162101,113.67886365846918,116.24536497017085,110.59566037442444,89.22162476511048,104.4275424598693,113.42051267229765,105.35421670323525
Diego Flores,NYY,Dominican Summer League,30,18,57,65,44.0,16.097560952000002,71.46848400332784,113.66504914889578,86.13445379902902,91.92406051554696,86.13445379902902,99.8997514739624,97.24118782115725
Diego Gonzalez,CHC,Dominican Summer League,30,18,63,92,47.0,20.888888868,120.58255951823944,91.02282035558126,82.72058824958775,98.71869288334848,82.72058824958775,86.8717043025845,90.82070049617249
