Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
Mason Black,KCR,AAA,26,42.2,7.59,2.53,3.00,2.11,18.8%,6.3%,12.5%,.316,1.59,.351,66.7%,6.54,5.96,0.58,4.76,30171
Hunter Stanley,CLE,AAA,28,14.0,10.93,3.86,2.83,1.29,28.3%,10.0%,18.3%,.222,1.29,.286,59.2%,4.50,4.26,0.24,4.76,sa3018148
Carson Coleman,NYY,AAA,28,34.2,8.83,4.93,1.79,0.52,22.2%,12.4%,9.8%,.226,1.41,.289,61.4%,5.19,4.06,1.13,4.74,sa3014857
Kyle Keller,BOS,AAA,33,31.1,11.20,6.32,1.77,1.15,28.1%,15.8%,12.2%,.231,1.56,.311,76.0%,4.02,4.82,-0.80,4.74,18890
Rorik Maltrud,CLE,AAA,26,85.2,7.98,2.84,2.81,1.37,20.9%,7.4%,13.5%,.248,1.28,.285,72.2%,4.31,4.72,-0.42,4.74,sa3023510
Tate Kuehner,MIL,AAA,25,40.1,8.93,4.69,1.90,0.67,21.3%,11.2%,10.1%,.258,1.56,.325,65.3%,5.80,4.39,1.41,4.74,sa3023099
Bailey Falter,KCR,AAA,29,38.0,9.71,4.03,2.41,0.47,24.4%,10.1%,14.3%,.273,1.53,.364,76.5%,3.55,3.49,0.06,4.74,20070
Ryan Bergert,KCR,AAA,26,9.2,9.31,4.66,2.00,0.93,23.8%,11.9%,11.9%,.243,1.45,.308,87.3%,2.79,4.37,-1.58,4.74,29863
Vince Velasquez,KCR,AAA,34,8.0,9.00,3.38,2.67,0.00,21.6%,8.1%,13.5%,.324,1.75,.423,50.0%,7.88,2.67,5.20,4.73,11189
Yosver Zulueta,BAL,AAA,28,3.2,7.36,2.45,3.00,2.45,21.4%,7.1%,14.3%,.154,0.82,.111,100.0%,2.45,6.27,-3.82,4.73,27765
