Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Patrick Forbes,ARI,A+,21,12.2,.250,1.50,23.1%,46.2%,30.8%,25.0%,25.0%,46.2%,23.1%,30.8%,15.4%,72,123,195,sa3031537
Ben Hernandez,SEA,A+,24,14.1,.135,1.78,30.6%,44.4%,25.0%,44.4%,11.1%,34.2%,15.8%,50.0%,9.8%,78,116,194,sa3014541
Sam Knowlton,ARI,A+,26,8.1,.227,7.00,23.8%,66.7%,9.5%,0.0%,0.0%,50.0%,13.6%,36.4%,9.8%,95,88,183,sa3023467
Ismael Luciano,COL,A+,23,8.0,.296,2.00,22.2%,51.9%,25.9%,28.6%,14.3%,35.7%,28.6%,35.7%,2.2%,84,94,178,sa3016227
Trey Dillard,SFG,A+,27,8.2,.300,1.13,15.0%,45.0%,40.0%,12.5%,0.0%,30.0%,15.0%,55.0%,12.4%,79,99,178,sa3023309
Mauricio Estrella,SFG,A+,22,8.2,.353,1.40,29.4%,41.2%,29.4%,100.0%,0.0%,58.8%,11.8%,29.4%,13.3%,65,101,166,sa3018857
Troy Guthrie,TOR,A+,20,11.0,.324,2.86,20.6%,58.8%,20.6%,28.6%,14.3%,37.1%,22.9%,40.0%,11.3%,58,102,160,sa3067419
Yordin Chalas,ARI,A+,22,9.0,.158,1.43,10.5%,52.6%,36.8%,14.3%,0.0%,47.4%,26.3%,26.3%,11.6%,54,75,129,sa3021508
Ricardo Yan,ARI,A+,23,3.0,.545,1.25,18.2%,45.5%,36.4%,0.0%,0.0%,36.4%,45.5%,18.2%,6.8%,66,51,117,sa3016056
Colby Holcombe,TOR,A+,23,5.1,.357,1.25,35.7%,35.7%,28.6%,25.0%,0.0%,28.6%,21.4%,50.0%,7.1%,52,61,113,sa3025302
Will Armbruester,SEA,A+,25,6.2,.292,0.92,8.0%,44.0%,48.0%,16.7%,8.3%,60.0%,20.0%,20.0%,10.0%,40,70,110,sa3067413
Gabriel Hughes,COL,A+,24,6.0,.200,2.50,22.2%,55.6%,22.2%,0.0%,0.0%,77.8%,11.1%,11.1%,15.6%,35,74,109,31614
Bryce Miller,SEA,A+,27,8.0,.167,3.00,11.1%,66.7%,22.2%,50.0%,0.0%,44.4%,27.8%,27.8%,12.0%,35,73,108,29837
Logan Mercado,ARI,A+,24,6.1,.357,0.83,21.4%,35.7%,42.9%,16.7%,16.7%,46.7%,26.7%,26.7%,14.8%,34,74,108,sa3067558
Angel Jimenez,COL,A+,22,6.1,.357,1.50,6.3%,56.3%,37.5%,16.7%,33.3%,25.0%,25.0%,50.0%,15.7%,32,70,102,sa3018287
Junior Ciprian,ARI,A+,21,4.2,.364,0.50,18.2%,27.3%,54.5%,33.3%,0.0%,27.3%,36.4%,36.4%,19.1%,36,58,94,sa3023107
Billy Corcoran,ARI,A+,26,5.2,.273,2.67,0.0%,72.7%,27.3%,33.3%,0.0%,63.6%,27.3%,9.1%,10.0%,28,52,80,sa3020172
Houston Harding,LAA,A+,28,4.0,.357,1.40,20.0%,46.7%,33.3%,40.0%,20.0%,46.7%,13.3%,40.0%,12.5%,25,47,72,sa3017820
Isaiah Coupet,COL,A+,23,4.0,.250,0.40,12.5%,25.0%,62.5%,20.0%,0.0%,50.0%,25.0%,25.0%,7.4%,28,40,68,sa3023156
Tommy Henry,ARI,A+,28,2.1,.667,5.00,50.0%,50.0%,0.0%,0.0%,100.0%,30.0%,30.0%,40.0%,16.9%,24,41,65,26285
Will Mabrey,ARI,A+,25,4.1,.400,1.50,33.3%,40.0%,26.7%,75.0%,0.0%,26.7%,13.3%,60.0%,14.5%,18,44,62,sa3020709
Brayan Castillo,COL,A+,25,3.0,.444,5.00,33.3%,55.6%,11.1%,0.0%,0.0%,44.4%,22.2%,33.3%,16.1%,25,31,56,sa3006544
Lucas Mahlstedt,LAA,A+,23,2.2,.800,0.33,20.0%,20.0%,60.0%,0.0%,0.0%,20.0%,60.0%,20.0%,12.7%,15,40,55,sa3036871
Jonatan Bernal,ARI,A+,24,4.1,.375,1.67,0.0%,62.5%,37.5%,0.0%,0.0%,25.0%,50.0%,25.0%,29.6%,17,37,54,sa3009271
Max Scherzer,TOR,A+,41,3.0,.333,5.00,33.3%,55.6%,11.1%,0.0%,0.0%,66.7%,11.1%,22.2%,8.2%,16,33,49,3137
Mason Olson,TOR,A+,24,3.1,.222,1.33,22.2%,44.4%,33.3%,0.0%,0.0%,55.6%,22.2%,22.2%,7.1%,15,27,42,sa3068903
Jeff Criswell,COL,A+,27,2.0,.600,1.00,20.0%,40.0%,40.0%,0.0%,0.0%,40.0%,40.0%,20.0%,12.5%,15,25,40,27608
Johan Macias,LAA,A+,23,2.2,.467,1.00,33.3%,33.3%,33.3%,0.0%,0.0%,53.3%,33.3%,13.3%,5.6%,13,23,36,sa3016095
Luke Craig,ARI,A+,24,2.0,.333,6.00,22.2%,66.7%,11.1%,0.0%,0.0%,44.4%,11.1%,44.4%,0.0%,11,25,36,sa3025433
Alexis Liebano,ARI,A+,23,1.1,.500,1.00,50.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,17.1%,12,23,35,sa3019885
Pedro Da Costa Lemos,SEA,A+,23,2.0,.000,0.20,0.0%,16.7%,83.3%,40.0%,0.0%,33.3%,0.0%,66.7%,20.8%,6,18,24,sa3016781
Antoine Jean,COL,A+,24,1.1,.400,1.50,0.0%,60.0%,40.0%,50.0%,0.0%,20.0%,20.0%,60.0%,13.6%,10,12,22,sa3034614
Gabe Speier,SEA,A+,31,1.0,.500,0.50,25.0%,25.0%,50.0%,0.0%,100.0%,25.0%,50.0%,25.0%,20.0%,4,11,15,17170
Austin St. Laurent,SEA,A+,23,1.0,.250,2.00,25.0%,50.0%,25.0%,0.0%,0.0%,25.0%,75.0%,0.0%,10.0%,4,6,10,sa3025241
Trent Youngblood,ARI,A+,24,0.2,.000,1.00,0.0%,50.0%,50.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,2,3,5,sa3067290
