Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
Ryan Harvey,DET,A+,25,5,6,3.88,36,0,0,0,3,4,5,55.2,247,61,31,24,7,18,0,7,6,0,52,sa3021724
Michael Kennedy,CLE,A+,21,9,5,5.66,18,5,0,0,1,0,0,70.0,308,67,48,44,10,31,0,4,11,2,64,sa3021728
Jackson Humphries,CLE,A+,21,1,7,5.47,21,20,0,0,0,0,0,72.1,332,56,51,44,8,55,0,7,8,4,105,sa3021729
Joshua Quezada,MIL,A+,22,2,0,6.75,5,0,0,0,0,0,0,10.2,45,7,8,8,2,7,0,0,1,0,12,sa3021789
Bernard Jose,SDP,A+,23,0,1,9.27,13,0,0,0,1,1,0,22.1,109,26,24,23,7,16,1,1,3,0,21,sa3021812
Jacob Wosinski,MIN,A+,27,1,0,2.51,8,0,0,0,0,0,1,14.1,56,10,4,4,2,2,0,1,1,0,19,sa3021825
Colin Fields,DET,A+,26,0,0,0.00,3,0,0,0,0,0,0,4.1,16,3,0,0,0,0,0,0,0,0,3,sa3021985
Jervis Alfaro,CLE,A+,22,1,3,8.21,12,7,0,0,0,0,0,34.0,165,50,35,31,4,19,0,1,4,0,21,sa3022113
Rubén Menes,STL,A+,24,4,3,5.23,31,0,0,0,3,2,2,51.2,234,53,33,30,6,32,0,3,4,1,47,sa3022122
Abraham Parra,SDP,A+,20,5,7,5.76,21,16,0,0,0,0,0,89.0,404,86,64,57,7,56,0,7,11,0,82,sa3022369
Maikel Miralles,SDP,A+,21,1,8,8.24,19,13,0,0,0,0,0,63.1,322,78,66,58,8,56,0,2,1,1,45,sa3022418
Kleiber Olmedo,SDP,A+,21,4,2,7.31,19,1,0,0,0,0,4,32.0,155,35,27,26,6,26,0,3,3,0,24,sa3022420
Quinn McDaniel,MIN,A+,23,0,0,4.50,1,0,0,0,0,0,0,2.0,11,1,1,1,0,5,0,0,0,0,0,sa3022701
Justin Storm,MIA,A+,24,3,2,2.89,36,0,0,0,11,2,1,56.0,230,38,22,18,2,27,0,7,7,0,59,sa3022797
Jason Savacool,STL,A+,24,1,1,5.19,20,0,0,0,1,1,1,26.0,126,30,18,15,7,18,0,0,5,1,32,sa3022856
Jacob Odle,STL,A+,22,3,4,3.86,15,15,0,0,0,0,0,63.0,279,42,28,27,8,49,0,10,6,0,92,sa3022877
Will Varmette,SDP,A+,23,4,2,6.75,43,0,0,0,4,2,1,56.0,267,63,45,42,5,34,2,6,4,0,59,sa3022881
Devin Kirby-Williams,OAK,A+,26,2,2,10.13,5,5,0,0,0,0,0,21.1,107,33,25,24,7,12,0,1,1,1,13,sa3022908
Josh Harlow,CLE,A+,25,0,0,13.50,3,0,0,0,0,0,0,4.0,22,5,6,6,2,5,0,1,0,0,0,sa3022914
Ryan Brown,OAK,A+,25,4,3,6.88,27,0,0,0,1,2,3,34.0,164,52,31,26,9,9,1,3,4,0,20,sa3022939
Seth Chavez,DET,A+,26,1,1,6.59,8,0,0,0,1,1,0,13.2,66,24,11,10,1,7,0,0,0,0,6,sa3023005
Jacob Widener,KCR,A+,25,0,1,20.77,5,0,0,0,0,0,0,4.1,34,2,11,10,1,16,0,3,2,0,7,sa3023031
Connor Fenlong,DET,A+,26,4,1,2.43,7,7,0,0,0,0,0,37.0,146,25,10,10,5,8,0,2,0,0,41,sa3023034
Donye Evans,DET,A+,24,1,0,1.93,3,0,0,0,0,0,1,4.2,18,1,1,1,0,5,0,0,0,0,1,sa3023037
Graham Osman,CIN,A+,25,2,2,7.78,30,0,0,0,0,0,3,41.2,217,60,40,36,7,31,1,2,3,1,51,sa3023063
Carlos Lequerica,DET,A+,25,2,2,6.59,29,0,0,0,0,1,2,42.1,191,44,33,31,8,21,0,5,3,0,48,sa3023081
Luke Stofel,DET,A+,24,1,3,3.47,32,0,0,0,2,1,1,49.1,215,45,23,19,4,24,0,5,7,0,46,sa3023087
Nolan Santos,MIN,A+,25,1,3,7.31,23,3,0,0,0,2,1,44.1,229,53,47,36,4,39,1,7,2,0,40,sa3023104
Zack Lee,DET,A+,25,4,2,2.67,34,6,0,0,5,1,2,60.2,248,51,20,18,3,17,0,6,3,2,65,sa3023124
Hayden Minton,DET,A+,25,2,4,3.86,12,11,0,0,0,1,0,51.1,211,35,23,22,9,21,0,7,2,1,57,sa3023155
Josh Hansell,KCR,A+,24,2,6,4.87,16,6,0,0,1,1,1,40.2,179,32,24,22,4,25,0,4,7,2,41,sa3023158
Cody Adcock,CIN,A+,24,4,1,3.16,16,0,0,0,3,2,1,25.2,111,11,9,9,0,21,0,3,2,0,37,sa3023175
Coleman Picard,KCR,A+,24,0,0,3.37,7,0,0,0,1,0,0,10.2,47,9,4,4,0,5,0,1,1,0,9,sa3023202
Nathan Dettmer,OAK,A+,24,3,4,4.08,10,10,0,0,0,0,0,53.0,223,56,25,24,2,20,0,1,0,1,51,sa3023207
CJ Weins,DET,A+,25,4,0,5.91,28,0,0,0,0,0,1,35.0,162,36,23,23,5,25,0,3,6,1,30,sa3023221
Emmett Olson,MIA,A+,24,0,0,13.03,4,4,0,0,0,0,0,9.2,54,14,15,14,3,9,0,2,1,0,7,sa3023223
Grayson Moore,CHC,A+,24,3,2,3.26,23,0,0,0,4,2,1,30.1,124,25,12,11,2,12,0,3,2,1,30,sa3023275
Cade Austin,MIA,A+,24,0,0,3.09,7,1,0,0,0,0,1,11.2,49,8,4,4,3,4,0,0,0,1,13,sa3023372
Jackson Finley,OAK,A+,25,2,1,5.00,4,3,0,0,0,0,0,18.0,76,17,12,10,2,6,0,1,2,0,20,sa3023406
Ross Dunn,MIN,A+,24,3,2,4.86,12,1,0,0,0,0,0,16.2,72,16,10,9,0,8,0,1,1,0,18,sa3023414
Jonah Hurney,CIN,A+,26,1,2,7.13,13,0,0,0,0,0,1,17.2,88,27,17,14,2,8,0,1,1,0,13,sa3023417
Dominic Freeberger,STL,A+,26,3,2,8.41,31,0,0,0,4,0,1,35.1,173,36,33,33,9,32,0,5,13,0,55,sa3023418
Josh Knoth,MIL,A+,20,5,3,4.33,16,14,0,0,0,1,0,68.2,288,64,36,33,7,26,0,1,3,1,66,sa3023420
Dylan Simmons,CIN,A+,25,3,1,6.17,17,0,0,0,2,0,4,23.1,110,35,16,16,5,12,0,1,1,0,18,sa3023468
Carson Montgomery,SDP,A+,23,3,8,4.65,23,22,0,0,0,0,0,93.0,397,73,52,48,15,50,0,5,4,1,80,sa3023470
Jojo Ingrassia,DET,A+,23,0,2,11.45,5,4,0,0,0,0,0,11.0,58,19,17,14,2,7,0,0,2,0,10,sa3023475
Paulshawn Pasqualotto,MIN,A+,25,3,0,1.50,13,0,0,0,4,1,0,18.0,68,14,4,3,1,4,0,0,1,1,30,sa3023476
Thomas Bruss,DET,A+,27,3,4,4.30,20,0,0,0,1,0,4,23.0,98,17,14,11,5,13,0,0,3,0,27,sa3023480
Kenten Egbert,CHC,A+,24,0,1,6.00,17,1,0,0,1,1,1,24.0,112,32,19,16,2,9,1,1,3,1,20,sa3023500
Will Sanders,CHC,A+,24,0,0,1.17,2,2,0,0,0,0,0,7.2,32,6,3,1,0,4,0,0,0,0,5,sa3023508
Blake Wolters,KCR,A+,21,3,8,9.04,19,18,0,0,0,0,0,75.2,366,89,81,76,17,45,0,5,14,0,81,sa3023513
Steven Echavarria,OAK,A+,20,4,7,5.28,20,20,0,0,0,0,0,93.2,420,93,66,55,13,45,0,3,9,1,93,sa3023560
Nazier Mulé,CHC,A+,21,2,4,5.43,19,15,0,0,0,0,0,63.0,286,58,41,38,7,44,0,9,8,0,79,sa3023566
Cole Schoenwetter,CIN,A+,21,2,0,5.09,6,5,0,0,0,0,0,23.0,108,24,15,13,1,18,0,1,1,0,25,sa3023567
John Michael Faile,CIN,A+,26,0,0,3.86,2,0,0,0,0,0,0,2.1,11,4,1,1,0,0,0,1,0,0,0,sa3023579
