Player,Fantasy Roster,Team,League,Level,Highest League,Age,Draft Class,G,FP/G,IP/G,Age+,FG/G+,K-BB%+,Weak Contact+,xFIP,Pitching Score,Pitching Score_Previous_League,Pitcher Prospect Score,Est FB,W,L,ERA,GS,SV,IP,SO,WHIP,BABIP,BB%,K%,K-BB%,Weak Contact,LD%,GB%,FB%,IFFB%,HR/FB%
Diustin Mayorquin,Available,MIL,Carolina League,A,Yes,18.0,,9.0,16.8,3.8,121.2,128.4,67.4,102.7,5.21,99.1,101.17991170981722,111.7,42.2,3.0,3.0,5.5,4.0,0.0,34.3,26.0,1.28,0.253,0.104,0.181,0.077,0.762,0.198,0.376,0.426,0.419,0.093
Yeraldo Salcedo,Available,PIT,Florida State League,A,Yes,19.0,,18.0,10.5,2.2,115.5,87.3,103.5,103.9,5.7,103.8,113.31954856725432,111.6,49.1,1.0,3.0,5.03,0.0,0.0,39.3,46.0,1.55,0.304,0.132,0.253,0.121,0.76,0.183,0.337,0.481,0.26,0.12
Zeke Wood,Available,STL,Florida State League,A,No,26.0,,9.0,10.7,1.2,84.4,89.0,397.7,98.6,1.75,128.6,118.23978210108888,111.1,7.5,2.0,2.0,3.37,0.0,0.0,10.7,22.0,0.94,0.412,0.047,0.512,0.465,0.722,0.222,0.333,0.444,0.125,0.125
Joseph King,Available,STL,Florida State League,A,No,25.0,,5.0,14.6,1.7,87.8,121.4,285.7,108.0,2.05,125.5,100.87870681626951,110.9,4.2,1.0,0.0,3.24,0.0,0.0,8.3,12.0,1.08,0.4,0.03,0.364,0.334,0.79,0.211,0.579,0.211,0.0,0.0
Estibenzon Jimenez,Available,PHI,Florida State League,A,No,24.0,,2.0,13.4,2.0,91.4,111.6,266.8,106.3,1.94,122.2,127.175664002225,110.7,1.0,0.0,0.0,2.25,0.0,0.0,4.0,6.0,1.25,0.444,0.063,0.375,0.312,0.778,0.222,0.667,0.111,0.0,0.0
Marco Vega,Available,LAA,California League,A,Yes,21.0,,11.0,8.3,1.2,104.2,67.5,139.0,109.0,5.46,111.7,115.19675538556749,110.7,13.0,0.0,0.0,1.42,0.0,0.0,12.7,16.0,0.95,0.143,0.132,0.302,0.17,0.821,0.143,0.393,0.464,0.385,0.077
Argenis Cayama,Available,SF,California League,A,Yes,19.0,,15.0,22.5,3.8,115.2,183.6,188.1,92.6,3.91,102.4,106.04436581793664,110.6,33.8,4.0,2.0,4.87,15.0,0.0,57.3,73.0,1.29,0.354,0.07,0.3,0.23,0.698,0.262,0.503,0.235,0.086,0.171
Samir Chires,Not in Fantrax,SFG,California League,A,No,22.0,,15.0,12.3,1.6,99.5,100.8,191.3,106.7,4.36,114.9,122.23102054804733,110.3,23.0,2.0,1.0,1.82,0.0,3.0,24.7,27.0,0.85,0.246,0.053,0.287,0.234,0.804,0.18,0.443,0.377,0.13,0.043
Leodarlyn Colon,Not in Fantrax,WSN,Carolina League,A,Yes,21.0,,14.0,6.9,1.3,103.9,53.2,43.7,119.1,6.18,111.0,115.49246504560902,110.1,23.4,1.0,0.0,3.44,2.0,0.0,18.3,14.0,1.25,0.245,0.123,0.173,0.05,0.884,0.115,0.442,0.442,0.348,0.0
Miguel Toscano,Available,TB,Carolina League,A,Yes,20.0,,5.0,18.1,3.8,109.1,138.9,79.6,110.0,4.54,106.6,100.29326437488344,110.1,17.0,3.0,0.0,4.26,1.0,0.0,19.0,11.0,1.11,0.267,0.052,0.143,0.091,0.816,0.167,0.55,0.283,0.118,0.059
Jesus Colina,Available,CIN,Florida State League,A,Yes,21.0,,9.0,12.2,1.5,104.5,102.0,171.1,103.7,4.66,110.4,114.97417158419282,110.0,15.5,1.0,0.0,4.05,0.0,3.0,13.3,15.0,1.05,0.25,0.1,0.3,0.2,0.759,0.172,0.276,0.552,0.313,0.125
Rocco Reid,Available,ARI,California League,A,No,23.0,,4.0,18.4,1.5,95.2,150.5,426.8,83.0,1.9,117.9,106.65874198199336,109.9,2.6,1.0,0.0,1.5,0.0,1.0,6.0,13.0,0.83,0.429,0.043,0.565,0.522,0.625,0.25,0.375,0.375,0.0,0.333
Jayden Dubanewicz,Available,MIL,Carolina League,A,No,20.0,,5.0,21.1,3.2,109.1,161.9,154.9,101.1,4.22,106.5,120.92700879440667,109.9,14.6,1.0,0.0,2.25,4.0,0.0,16.0,21.0,1.31,0.286,0.132,0.309,0.177,0.751,0.194,0.389,0.417,0.333,0.133
Matthew Fisher,Available,PHI,Florida State League,A,Yes,20.0,,9.0,20.9,3.7,109.7,174.8,152.2,100.3,4.89,105.5,106.66027276244633,109.6,35.8,2.0,1.0,3.82,8.0,0.0,33.0,38.0,1.27,0.299,0.082,0.26,0.178,0.734,0.222,0.367,0.411,0.189,0.108
Melvin Rodriguez,Available,MIN,Florida State League,A,Yes,20.0,,8.0,5.5,1.5,109.7,46.2,141.1,101.5,4.75,105.4,108.07346388698282,109.6,10.0,0.0,2.0,12.75,0.0,0.0,12.0,19.0,2.08,0.429,0.119,0.284,0.165,0.743,0.2,0.514,0.286,0.4,0.2
Luichi Casilla,Available,COL,California League,A,Yes,21.0,,6.0,23.3,3.4,104.2,190.1,244.5,94.8,3.2,109.9,110.37582826553556,109.5,10.2,0.0,1.0,3.1,6.0,0.0,20.3,34.0,1.23,0.372,0.092,0.391,0.299,0.714,0.262,0.5,0.238,0.2,0.1
Jake Barbee,Available,TEX,Carolina League,A,Yes,19.0,,3.0,20.4,3.1,114.9,156.3,89.2,102.4,4.15,101.0,97.90309978459284,109.5,4.2,1.0,0.0,3.86,0.0,1.0,9.3,8.0,1.18,0.269,0.103,0.205,0.102,0.76,0.24,0.6,0.16,0.5,0.0
Giovanni Vargas,Available,STL,Florida State League,A,Yes,20.0,,1.0,16.2,2.0,109.7,135.6,0.0,117.1,5.95,104.9,90.97242013449832,109.2,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.5,0.286,0.111,0.111,0.0,0.857,0.143,0.571,0.286,0.0,0.0
Dioris Martinez,Available,PIT,Florida State League,A,Yes,20.0,,10.0,7.6,1.5,109.7,63.6,39.3,112.6,5.46,104.9,89.08941665929947,109.2,8.2,0.0,0.0,2.4,0.0,0.0,15.0,15.0,1.53,0.286,0.185,0.231,0.046,0.824,0.147,0.618,0.235,0.5,0.125
Mikey Tepper,Available,WSH,Carolina League,A,No,24.0,,5.0,21.9,3.4,90.9,167.6,155.7,116.8,3.61,120.2,104.6166835228211,109.1,13.3,1.0,0.0,1.06,5.0,0.0,17.0,20.0,1.29,0.326,0.096,0.274,0.178,0.867,0.133,0.578,0.289,0.231,0.0
Luis Maracara,Available,SD,California League,A,Yes,18.0,,10.0,14.9,2.9,121.6,121.4,98.9,94.0,6.3,94.7,92.73163778561992,109.0,31.6,2.0,2.0,7.22,8.0,0.0,28.7,36.0,1.57,0.304,0.15,0.271,0.121,0.709,0.236,0.306,0.458,0.242,0.121
Manuel Colon,Not in Fantrax,KCR,Carolina League,A,Yes,19.0,,2.0,5.0,1.0,114.9,38.3,-73.5,119.8,7.76,99.8,103.89952849084148,108.7,3.0,0.0,0.0,13.5,0.0,1.0,2.0,1.0,3.0,0.444,0.167,0.083,-0.084,0.889,0.111,0.556,0.333,0.0,0.0
Davidxon Lara,Available,MIA,Florida State League,A,Yes,19.0,,13.0,11.2,1.5,115.5,93.4,118.9,96.8,4.61,99.1,95.94718426514636,108.6,15.3,2.0,0.0,3.15,0.0,2.0,20.0,20.0,1.1,0.217,0.114,0.253,0.139,0.708,0.229,0.438,0.333,0.25,0.188
Gensi Angeles,Available,ATL,Carolina League,A,Yes,18.0,,6.0,10.0,2.8,121.2,76.2,87.5,95.1,5.01,94.4,102.78416005474978,108.6,15.3,1.0,2.0,7.94,3.0,0.0,17.0,14.0,1.47,0.288,0.075,0.175,0.1,0.706,0.216,0.49,0.294,0.133,0.267
Anhuar Garcia,Available,CHC,Carolina League,A,No,22.0,,11.0,15.4,2.3,99.2,117.8,194.2,103.4,3.51,112.4,112.0673641931376,108.5,17.0,1.0,0.0,2.49,3.0,1.0,25.3,31.0,0.91,0.189,0.091,0.313,0.222,0.768,0.161,0.518,0.321,0.222,0.222
Wilmis Paulino,Available,COL,California League,A,Yes,20.0,,8.0,10.5,1.8,109.4,86.0,152.1,98.6,5.85,104.0,119.8555991744359,108.5,17.5,0.0,0.0,7.98,0.0,1.0,14.7,20.0,1.57,0.333,0.1,0.286,0.186,0.743,0.154,0.359,0.487,0.158,0.211
Anthony Mena,Not in Fantrax,NYY,Florida State League,A,Yes,21.0,,5.0,17.2,3.3,104.5,143.5,118.0,107.0,4.45,107.9,102.10163741465252,108.3,14.3,2.0,0.0,1.65,1.0,0.0,16.3,10.0,0.73,0.182,0.034,0.172,0.138,0.783,0.174,0.5,0.326,0.2,0.133
Brandon Barriera,Available,TOR,Florida State League,A,No,22.0,,12.0,12.2,2.7,99.7,101.7,65.0,117.4,4.92,111.6,140.5753093744454,108.2,15.0,0.0,3.0,4.22,12.0,0.0,32.0,33.0,1.59,0.329,0.153,0.229,0.076,0.859,0.113,0.704,0.183,0.385,0.154
Ryjeteri Merite,Available,CIN,Florida State League,A,Yes,20.0,,5.0,13.8,2.4,109.7,115.6,167.6,96.1,4.08,103.4,113.6863350988479,108.2,9.6,0.0,1.0,4.5,5.0,0.0,12.0,17.0,1.25,0.269,0.137,0.333,0.196,0.703,0.259,0.37,0.37,0.4,0.1
Hendry Chivilli,Available,MIN,Florida State League,A,Yes,20.0,,15.0,10.1,2.2,109.7,84.6,104.3,103.4,5.03,103.4,107.85525071112488,108.2,32.0,2.0,1.0,5.35,3.0,1.0,33.7,26.0,1.31,0.298,0.054,0.176,0.122,0.756,0.196,0.495,0.308,0.212,0.152
