League Name,League Level,Age,Players,Total PA,Weighted K%,Weighted BB%,Weighted LD%,Weighted wRC+
Arizona Complex League,CPX,22,49,1739,0.22886716458424383,0.1357101777573318,0.18466442662334678,105.75127825234324
Arizona Complex League,CPX,23,48,1793,0.2297824870574456,0.14668153887618515,0.17935810879810374,112.59740029954726
Arizona Complex League,CPX,24,21,979,0.21450459612665979,0.10112359529417773,0.2213622252706844,126.9224684735841
Arizona Complex League,CPX,25,25,669,0.2227204776935725,0.12406576934678626,0.2382694211778774,109.38612702171557
Arizona Complex League,CPX,26,17,384,0.27604166631250004,0.059895832914062495,0.12385433625260417,60.247822663433844
Arizona Complex League,CPX,27,9,116,0.18103448233620692,0.12068965473275861,0.18418976769827586,144.95202054153992
Arizona Complex League,CPX,28,10,182,0.2087912084065934,0.17032967004395605,0.21030091673076926,143.4182055146816
Arizona Complex League,CPX,29,2,28,0.24999999985714286,0.1071428567857143,0.3571428569285714,35.936842324441166
Arizona Complex League,CPX,30,3,20,0.19999999940000002,0.24999999950000001,0.15,148.9364292523853
Arizona Complex League,CPX,31,4,37,0.16216216172972972,0.13513513470270272,0.21486486486486486,180.9667981888107
Arizona Complex League,CPX,32,1,27,0.18518518500000003,0.259259259,0.071428571,77.01503132924344
Arizona Complex League,CPX,34,1,9,0.222222222,0.222222222,0.75,316.59673717957526
Arizona Complex League,CPX,35,2,18,0.0555555555,0.1666666665,0.0,66.94938989243225
Florida Complex League,CPX,17,7,773,0.27943078892626133,0.12936610591203107,0.1826834992199224,73.31563939118567
Florida Complex League,CPX,18,118,10211,0.23964352118274415,0.13221036082381746,0.19380314339976498,95.70070683792541
Florida Complex League,CPX,19,200,16313,0.23643719690620973,0.13149022206032,0.1979009873820266,97.82174263774849
Florida Complex League,CPX,20,129,7199,0.22419780482205862,0.13279622124211699,0.19834562534838174,100.81239850253962
Florida Complex League,CPX,21,60,3081,0.24083089860597212,0.13794222614151253,0.20593211233268416,108.24203911985136
Florida Complex League,CPX,22,54,1919,0.24387701873267326,0.14121938469828035,0.2062117588999479,102.59294460552688
Florida Complex League,CPX,23,31,633,0.21169036288625592,0.14218009434123222,0.1981791805671406,125.9575986819331
Florida Complex League,CPX,24,21,424,0.17688679199528304,0.16509433929716982,0.19382639696462267,132.08117336142502
Florida Complex League,CPX,25,15,280,0.22142857111428574,0.15357142815,0.14666449601785717,156.85462773591644
Florida Complex League,CPX,26,12,205,0.1999999996,0.1999999994878049,0.1759086167804878,138.07935905566285
Florida Complex League,CPX,27,8,114,0.20175438552631578,0.1403508768508772,0.23985610554385967,151.54385929237628
Florida Complex League,CPX,28,9,108,0.16666666645370373,0.2499999998148148,0.12070105767592593,101.89619282201316
Florida Complex League,CPX,29,2,19,0.21052631578947367,0.05263157894736842,0.25263157894736843,159.1852022120038
Florida Complex League,CPX,30,2,7,0.0,0.2857142855714286,0.0,314.7433675483616
Florida Complex League,CPX,31,1,16,0.0625,0.125,0.0,36.029503518957654
Florida Complex League,CPX,34,1,11,0.363636363,0.272727272,0.5,76.87538532014855
Florida Complex League,CPX,38,1,2,0.5,0.5,0.0,108.40270810667371
Dominican Summer League,R,16,40,2703,0.218275989127266,0.15501294808953017,0.18130766275323715,99.94785194186477
Dominican Summer League,R,17,513,37511,0.2047132836370931,0.14577057352027406,0.18853127075343232,99.54719374329447
Dominican Summer League,R,18,455,33703,0.1943150456976827,0.14538765046212504,0.18755175171287425,103.66276592320813
Dominican Summer League,R,19,174,11463,0.2062287354828579,0.14926284522917213,0.18441830881034632,103.74254612857963
Dominican Summer League,R,20,45,3637,0.1902667028891944,0.147924112828705,0.19288525570690132,114.63959047546574
Dominican Summer League,R,21,13,576,0.21180555514409724,0.16145833281423613,0.16239508814756945,114.98705393795922
Dominican Summer League,R,22,2,9,0.111111111,0.444444444,0.0,146.32205876795985
