Player Name,Team,League Name,AB,wRC+,Age+ RobustZ+,Approach+ RobustZ+,Speed+ RobustZ+,LD%+ RobustZ+,HR/FB+ RobustZ+,5 Tool RobustZ+,Hitter RobustZ+
Khadim Diaw,MIN,Florida State League,9,241.03018010932135,99.16242150394034,90.38438563818809,58.819760459519784,217.86561069678675,230.1376115952291,139.27395797873282,179.46253597673467
Dylan Palmer,PIT,Florida State League,10,179.86930336910194,99.16242150394034,262.4858184380854,105.18889111245974,51.561196499948714,74.61752994193085,118.603171499273,129.55484829332167
Jack Goodman,DET,Florida State League,42,178.05346936692973,99.16242150394034,140.02712319187077,123.70383457343446,148.57210478143756,105.7215462725905,123.43740606465471,131.44025808196628
Chase Heath,STL,Florida State League,45,164.10593849905698,99.16242150394034,124.15925767372352,102.6222022128968,65.41989768301855,141.26899341876145,106.52655449846812,110.28271625850118
Marek Houston,MIN,Florida State League,54,149.65364467609527,99.16242150394034,94.56493282821907,105.48638293007947,115.10841126982548,74.61752994193085,97.78793569479903,94.76362467999179
Kien Vu,CIN,Florida State League,77,148.20121088322628,99.16242150394034,90.68802744564935,107.23153911863005,111.4307856108104,140.0996693398668,109.7224886037794,114.07282746544219
Drew Faurot,MIA,Florida State League,88,143.64279069841726,99.16242150394034,97.95901583885764,109.59953067249221,139.60470955914414,74.61752994193085,104.18864150327303,104.06041844664422
Yeuni Munoz,TOR,Florida State League,98,142.0441243341312,99.16242150394034,89.94921384289728,84.16654504550168,66.51979427850016,167.9295789339098,101.54551072094985,108.13286235176908
Won-Bin Cho,STL,Florida State League,16,139.386004692583,99.16242150394034,76.78182113261653,107.8662576173415,51.561196499948714,385.6576932485273,144.20587800047488,171.33357029369753
Yohairo Cuevas,NYM,Florida State League,198,138.04790816874046,99.16242150394034,126.45011106028558,95.20365348947327,119.8176564709864,88.1410150326175,105.75497151146062,111.46959418796318
Jackson Strong,DET,Florida State League,267,132.63091588722006,99.16242150394034,94.87875790392009,113.19812098862292,117.96112712136488,95.35354062167717,104.11079362790508,102.7311418823207
Brent Iredale,PIT,Florida State League,56,130.82301561031855,99.16242150394034,107.64631131887491,101.05618897917596,76.75883465177513,122.46986249514248,101.41872378978177,102.2916694885975
Edward Duran,TOR,Florida State League,253,130.69046486910037,99.16242150394034,96.90927967968659,104.84109396366702,96.5828334851124,103.41754487859191,100.18263470219966,98.96988601446363
Hans Montero,NYY,Florida State League,290,122.07426486938886,99.16242150394034,86.37362910594807,108.24508470580446,108.30034937017417,121.74482725239447,104.7652623876523,105.4729352428389
Cristian Santana,DET,Florida State League,302,121.40000480960138,99.16242150394034,109.94529350296379,94.155460304654,91.77860362865253,114.15653373100395,101.83966253424293,105.29347695420677
Jesus Hernandez,MIA,Florida State League,146,120.09516154875776,99.16242150394034,96.49950576783168,124.08215674409078,103.76678903912767,94.05754014859312,103.51368264071671,98.10794498518415
Johnfrank Salazar,STL,Florida State League,83,119.6962942480396,99.16242150394034,142.44020226898192,86.67086846580108,110.16370429643281,95.35354062167717,106.75814743136667,115.98581572903062
Robert Phelps,PHI,Florida State League,39,113.65269748367004,99.16242150394034,156.42817943144053,101.35633014308478,67.65517180988104,74.61752994193085,99.8439265660555,99.56696039441748
Mason Neville,CIN,Florida State League,77,112.98647170697144,99.16242150394034,84.73039180204172,108.92679168566386,125.47426918066886,90.16953810726068,101.69268245591509,100.12473302999042
Nick Dumesnil,DET,Florida State League,59,110.16483864782349,99.16242150394034,138.22531693199878,105.75516999460572,127.1541118423849,74.61752994193085,108.98291004297212,113.33231957210484
Juan Matheus,NYY,Florida State League,336,109.09113822579248,99.16242150394034,111.31602180007779,108.70072577839379,100.06665064069313,81.09753324047156,100.06867059271534,97.4934018937475
