Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Max Ferguson","BOS","AA",25,392,0.150510204,0.216836734,0.694117647,0.19076923,0.319587628,0.286153846,0.605741474,0.095384616,6.2278196688739715,0.235042735,2.1532915038987994,38.17371573745964,-6.624424073102498,0.29476350268652274,83.06063054230428,"sa3016819"
"Colton Bender","PHI","AA",26,3,0,0.333333333,0,0,0,0,0,0,0.14285714,0,0,-0.372749353685654,-0.7155922603991397,0,-100,"sa3016828"
"Miguel Bleis","BOS","AA",21,118,0.050847457,0.262711864,0.193548387,0.209090909,0.262711864,0.29090909,0.553620954,0.081818181,5.325465774956064,0.282051282,0.32057059556245804,8.460786279758617,-5.024368050971821,0.2606094115871494,60.55870183515252,"sa3016834"
"Luis Caicuto","PHI","AA",22,3,0,0.333333333,0,0,0,0,0,0,0.14285714,0,0,-0.372749353685654,-0.7155922603991397,0,-100,"sa3016923"
"Tyler Hardman","NYY","AA",26,453,0.083885209,0.315673289,0.265734265,0.227602905,0.293598233,0.457627118,0.751225351,0.230024213,6.7333751474326,0.294820717,0.23176184576004744,59.4398472707872,7.670568357050845,0.3397588615385902,118.88108861105052,"sa3016955"
"Chris Meyers","DET","AA",26,317,0.100946372,0.19873817,0.507936507,0.269784172,0.353312302,0.460431654,0.813743956,0.190647482,4.538132204355542,0.314009661,-0.7579938750714064,49.168808803891174,12.941741661166182,0.37153564774275577,137.68318769197543,"sa3016956"
"Corey Rosier","BOS","AA",25,65,0.092307692,0.23076923,0.4,0.263157894,0.323076923,0.47368421,0.796761133,0.210526316,4.9640152514255,0.309523809,0.24812292773276567,9.290854736170516,1.862591757378325,0.35534934814159685,122.97673813614993,"sa3016961"
"Grant Richardson","NYY","AA",25,58,0.103448275,0.413793103,0.25,0.137254901,0.228070175,0.235294117,0.463364292,0.098039216,3.9138033724400847,0.23076923,0.08317148126661777,2.620974425209022,-4.007321771251702,0.2253487653899611,43.503652290923505,"sa3016964"
"Justice Bigbie","DET","AA",26,452,0.1039823,0.152654867,0.68115942,0.28320802,0.358407079,0.413533834,0.771940913,0.130325814,1.8559806692028251,0.313664596,-2.152860308997333,64.85205425908411,13.197056314252256,0.3560698851777815,127.49379381742514,"sa3016971"
"Ben Malgeri","DET","AA",25,285,0.080701754,0.18245614,0.442307692,0.278884462,0.350877192,0.474103585,0.824980777,0.195219123,6.744845640049082,0.328282828,-0.7817920567467809,44.13492904306986,11.564852905288715,0.37120680972723896,137.4665375237765,"sa3016975"
