Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Chandler Seagle","ATL","AAA",29,20,52,54,11,8,3,0,0,6,0,1,0,16,1,0,0,3,0,0,0.211538461,"23552"
"Davis Schneider","TOR","AAA",26,38,133,160,30,18,6,2,4,17,18,24,0,46,2,1,0,1,3,1,0.225563909,"23565"
"Brett de Geus","PHI","AAA",27,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23592"
"Brayan Rocchio","CLE","AAA",24,41,159,188,40,19,12,2,7,28,30,23,0,27,3,2,1,4,7,3,0.251572327,"23690"
"Jose Tena","WSN","AAA",24,52,209,240,60,41,13,1,5,27,24,30,0,59,0,0,1,3,21,5,0.287081339,"23691"
"Everson Pereira","NYY","AAA",24,78,297,348,76,44,10,1,21,71,57,43,0,100,6,2,0,5,9,2,0.255892255,"23695"
"Ronny Mauricio","NYM","AAA",24,9,33,39,17,13,1,0,3,10,8,5,2,5,0,1,0,0,4,1,0.515151515,"23698"
"Wilyer Abreu","BOS","AAA",26,2,6,7,1,1,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0.166666666,"23772"
"Leo Jimenez","TOR","AAA",24,19,56,71,17,13,4,0,0,12,4,11,0,13,3,1,0,3,0,1,0.303571428,"23782"
"Jordyn Adams","BAL","AAA",25,89,272,310,58,37,7,4,10,41,44,29,0,94,2,3,3,4,14,5,0.213235294,"23788"
"Will Banfield","CIN","AAA",25,79,243,270,52,37,13,0,2,22,23,18,0,69,3,6,0,5,0,0,0.213991769,"23790"
"Jordan Groshans","KCR","AAA",25,8,20,25,4,2,2,0,0,4,2,4,0,3,1,0,0,1,0,0,0.2,"23794"
"Parker Meadows","DET","AAA",25,13,45,55,12,5,3,3,1,12,6,10,0,18,0,0,0,0,1,0,0.266666666,"23800"
"Anthony Seigler","MIL","AAA",26,72,249,307,71,43,16,4,8,51,39,52,0,59,4,2,0,2,23,4,0.285140562,"23802"
"Brandon Valenzuela","TOR","AAA",24,26,92,105,19,10,6,0,3,9,12,12,1,32,0,1,0,2,0,0,0.206521739,"23813"
"Ji Hwan Bae","PIT","AAA",25,67,264,305,77,51,18,7,1,55,21,34,0,61,5,2,0,4,23,4,0.291666666,"23818"
"Jorbit Vivas","NYY","AAA",24,100,374,459,101,75,21,1,4,59,43,64,1,45,11,4,1,3,12,9,0.270053475,"23917"
"Curtis Mead","CHW","AAA",24,16,60,69,18,11,4,0,3,12,9,7,0,17,2,0,0,3,0,0,0.3,"23986"
"Jhonkensy Noel","CLE","AAA",23,61,227,252,62,36,14,0,12,22,39,21,0,67,2,2,0,5,1,1,0.273127753,"24257"
"Liover Peguero","PIT","AAA",24,75,267,303,66,45,14,1,6,39,40,27,0,59,1,5,3,10,8,3,0.247191011,"24273"
"Johan Rojas","PHI","AAA",24,35,147,161,41,32,7,1,1,18,13,13,0,32,0,0,1,6,8,2,0.278911564,"24336"
